,joint,frame,x1,y1,z1,x2,y2,z2,ax1,ay1,az1,ax2,ay2,az2
0,HANDRIGHT,0,0.9,1.5,0.9,-0.1,1.7,1.0,,,,,,
1,HANDRIGHT,1,0.9,1.5,0.9,-0.1,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.1
2,HANDRIGHT,2,0.9,1.5,0.9,-0.1,1.7,1.0,0.0,0.0,0.0,0.0,0.0,-0.1
3,HANDRIGHT,3,0.9,1.5,0.9,-0.1,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,HANDRIGHT,4,0.9,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,-0.2,0.1
5,HANDRIGHT,5,1.0,1.5,0.9,-0.1,1.5,1.1,0.1,0.0,0.0,0.0,0.0,0.0
6,HANDRIGHT,6,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
7,HANDRIGHT,7,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
8,HANDRIGHT,8,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
9,HANDRIGHT,9,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
10,HANDRIGHT,10,1.0,1.5,0.9,-0.1,1.6,1.1,0.0,0.0,0.0,0.0,0.1,0.0
11,HANDRIGHT,11,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,-0.1,0.0
12,HANDRIGHT,12,1.0,1.5,0.9,-0.1,1.6,1.0,0.0,0.0,0.0,0.0,0.1,-0.1
13,HANDRIGHT,13,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,-0.1,0.1
14,HANDRIGHT,14,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
15,HANDRIGHT,15,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
16,HANDRIGHT,16,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
17,HANDRIGHT,17,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
18,HANDRIGHT,18,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
19,HANDRIGHT,19,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
20,HANDRIGHT,20,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
21,HANDRIGHT,21,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
22,HANDRIGHT,22,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
23,HANDRIGHT,23,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
24,HANDRIGHT,24,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
25,HANDRIGHT,25,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
26,HANDRIGHT,26,1.0,1.5,0.9,-0.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
27,HANDRIGHT,27,0.9,1.5,0.9,0.0,1.5,1.1,-0.1,0.0,0.0,0.1,0.0,0.0
28,HANDRIGHT,28,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
29,HANDRIGHT,29,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
30,HANDRIGHT,30,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
31,HANDRIGHT,31,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
32,HANDRIGHT,32,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
33,HANDRIGHT,33,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
34,HANDRIGHT,34,0.9,1.5,0.9,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
35,HANDRIGHT,35,0.9,1.5,0.9,0.0,1.4,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1
36,HANDRIGHT,36,0.9,1.5,0.9,0.1,1.4,1.0,0.0,0.0,0.0,0.1,0.0,0.0
